Category,Title,Price,Location,Area,URL
Plots for Sale,"5 Marla Residential Plot for sale in Bahria Town - Sector F, Lahore | 1463507 | Graana.com",1.07 Crore,"Bahria Town - Sector F, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-bahria-town---sector-f-lahore-1463507/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463402 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463402/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463400 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463400/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463399 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463399/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463397 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463397/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463396 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463396/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463395 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463395/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463394 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463394/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463393 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463393/
Plots for Sale,"5 Marla Residential Plot for sale in DHA Phase 9  Prism, Lahore | 1463392 | Graana.com",1.3 Crore,"DHA Phase 9  Prism, Lahore",5 marla,https://www.graana.com/property/5-marla-residential-plot-sale-dha-phase-9-prism-lahore-1463392/
