ADMIN_UNIT,DISTRICT,ALL_SEXES,MALE,FEMALE,TRANSGENDER,AVG_HH_SIZE
CHUNIAN MC,KASUR DISTRICT,87547,43813,43721,13,5.86
NAUSHAHRO FEROZE,DISTRICT,87416,43967,43443,6,5.75
CHOWK AZAM MC,LAYYAH DISTRICT,87376,44572,42796,8,6.20
DINA MC,JHELUM DISTRICT,84629,43478,41107,44,6.06
BAHAWALNAGAR,DISTRICT,83192,43584,39591,17,6.52
RATODERO MC,LARKANA DISTRICT,81935,42224,39703,8,5.48
MUSTAFABAD MC,KASUR DISTRICT,81550,41623,39905,22,6.25
FATEH JANG MC,ATTOCK DISTRICT,81321,41020,40289,12,6.46
KHARAN MC,KHARAN DISTRICT,80806,44352,36448,6,7.33
GHAKKHAR MC,GUJRANWALA DISTRICT,80320,40467,39851,2,6.62
ALAHABAD MC,KASUR DISTRICT,80097,40730,39330,37,5.97
SUI MC,DERA BUGTI DISTRICT,79567,42005,37561,1,5.53
TALAGANG MC,CHAKWAL DISTRICT,79431,40147,39274,10,5.75
RAHIM YAR KHAN,DISTRICT,76979,40226,36707,46,7.32
ALI PUR CHATHA MC,GUJRANWALA DISTRICT,76964,38516,38433,15,7.09
PANO AQIL TC,SUKKUR DISTRICT,76942,40270,36667,5,5.22
BEHRAIN MC,SWAT DISTRICT,76728,38966,37760,2,7.25
SIALKOT CANTONMENT,SIALKOT DISTRICT,76480,40428,36030,22,8.42
DERA ISMAIL KHAN,DISTRICT,76027,39676,36348,3,6.62
TAXILA MC,RAWALPINDI DISTRICT,75444,38040,37392,12,6.01
KAHUTA MC,RAWALPINDI DISTRICT,75349,37075,38273,1,5.49
SEHWAN TC,JAMSHORO DISTRICT,75167,38755,36400,12,5.40
ABBOTTABAD MC,ABBOTTABAD DISTRICT,74712,38073,36625,14,5.80
MIRPUR MATHELO MC,GHOTKI DISTRICT,74651,38879,35768,4,5.26
QILA DIDAR SINGH MC,GUJRANWALA DISTRICT,74523,37191,37329,3,6.44
KOT MITHAN MC,RAJANPUR DISTRICT,74479,36983,37489,7,6.51
MATLI MC,BADIN DISTRICT,74402,38757,35629,16,5.00
TANDO JAM MC,HYDERABAD DISTRICT,74303,38912,35387,4,5.54
SANGHAR MC,SANGHAR DISTRICT,74112,37254,36852,6,6.06
MUZAFFARGARH,DISTRICT,74095,37798,36293,4,6.97
SARAI ALAMGIR MC,GUJRAT DISTRICT,73967,36696,37267,4,6.47
MALAKAND PROTECTED,AREA,73525,38349,35170,6,7.11
HALA MC,MATIARI DISTRICT,71094,35899,35185,10,5.44
BHERA MC,SARGODHA DISTRICT,70921,35785,35131,5,5.76
GWADAR MC,GWADAR DISTRICT,70852,37578,33266,8,5.05
LAKKI MARWAT,DISTRICT,70759,35929,34829,1,6.96
HASAN ABDAL MC,ATTOCK DISTRICT,69529,35579,33938,12,6.33
BULAIDA MC,KECH DISTRICT,68752,35953,32747,52,4.50
DARYA KHAN MC,BHAKKAR DISTRICT,68622,35382,33222,18,5.87
KARACHI SOUTH,DISTRICT,68097,35821,32266,10,5.96
ABDUL HAKIM TC,KHANEWAL DISTRICT,67501,34697,32742,62,6.39
BAHAWALNAGAR,DISTRICT,67164,34763,32399,2,6.14
NARANG MANDI MC,SHEIKHUPURA DISTRICT,67137,34092,33040,5,7.26
MEHAR MC,DADU DISTRICT,67082,33558,33504,20,5.05
RAHIM YAR KHAN,DISTRICT,66933,34505,32368,60,6.44
PINDI BHATTIAN MC,HAFIZABAD DISTRICT,66511,33515,32991,5,6.34
RAJA JANG MC,KASUR DISTRICT,66404,34193,32208,3,6.60
TASP MC,PANJGUR DISTRICT,66030,37944,28079,7,3.68
OKARA CANTONMENT,OKARA DISTRICT,65590,35270,30315,5,6.65
BASIRPUR TC,OKARA DISTRICT,65541,33587,31940,14,5.90
USTA MUHAMMAD MUNICIPAL CORPORATION,JAFFARABAD DISTRICT,64632,32207,32419,6,8.08
