Area,Area_A,Area_K,ELEV,ICON,NAME,Name_UC_N,P_1998,P_30_6_07,P_30_6_08,P_30_6_09,P_30_6_11,P_30_6_14,P_30_6_16,P_31_12_07,P_31_12_08,P_31_12_09,P_31_12_11,P_31_12_14,P_31_12_16,P_D_11,P_D_14,P_D_16,Town_Name,ZID,mean
34897528.4899,801.140222232,7755.00633109,0,0,Naseer Abad,Naseer Abad,36994,46719,47739,48789,50945,53943,56216,47226,48257,49327,51473,54503,56799,63.5906157078,68.0317858067,70.8977010813,Gulberg Town,0,0.1464422268920176
17768686.5322,407.914545618,3948.59700716,0,0,Kot Lakhpat,Kot Lakhpat,34067,43023,43962,44929,46914,49675,51769,43490,44439,45425,47401,50190,52305,115.009382489,123.040476343,128.225385836,Gulberg Town,0,0.07706922493876986
711969205.835,16344.6293324,158215.379074,0,0,Shamke Bhattian,Shamke Bhattian,33042,41888,42810,44486,46700,49313,51188,42350,43274,45217,47184,49715,51719,2.85720765214,3.04167191491,3.16428099703,Iqbal Town,0,0.2540725644569089
18210684.8677,418.061471778,4046.81885949,0,0,Awan Town,Awan Town,37507,47078,48092,49134,49482,52640,55226,47575,48613,49655,49996,53384,55798,118.360584125,127.694139747,133.46841019,Iqbal Town,0,0.04860906340808243
189987746.232,4361.53595467,42219.4991627,0,0,Hanjarwal,Hanjarwal,44336,56205,57443,59691,62662,66168,68685,56826,58066,60673,63312,66708,69397,14.3669571113,15.2946119654,15.911137893,Iqbal Town,0,0.17807348407819018
171887224.719,3946.00349563,38197.1610487,0,0,Niaz Beg,Niaz Beg,44448,56347,57588,59842,62820,66335,68858,56969,58212,60826,63472,66877,69573,15.9199048023,16.9480336432,17.6312565554,Iqbal Town,0,0.18592226078443314
95284824.0746,2187.44731899,21174.4053499,0,0,Johar Town,Johar Town,43487,54584,55759,56969,57372,61032,64031,55161,56364,57533,57967,61895,64695,26.2278316382,28.2955385772,29.5755694038,Iqbal Town,0,0.12061701063456529
177980918.667,4085.89601913,39551.3152593,0,0,Sabzazar,Sabzazar,31575,39633,40486,41364,41656,44314,46491,40051,40925,41728,42089,44941,46973,10.1950709967,10.9990562143,11.4963767507,Iqbal Town,0,0.17387472310338906
10698454.2868,245.603697906,2377.43428596,0,0,Saidpur,Saidpur,34838,43728,44669,45639,45961,48894,51296,44190,45154,46124,46438,49585,51828,187.134804532,201.89028269,211.02288134,Iqbal Town,0,0.05687136677652343
8462621.04095,194.275823956,1880.58245354,0,0,Raiwind,Raiwind,41287,52101,35132,35894,36803,39151,41075,52664,35513,36275,37185,39705,41501,189.436849375,204.374374492,213.618962745,Iqbal Town,0,0.038100983295999175
13319816.3138,305.782130239,2959.95918084,0,0,Bakar Mandi,Bakar Mandi,32563,40873,41752,42638,42960,45701,47946,41304,42205,43080,43406,46347,48443,140.492186271,151.568700119,158.423253714,Iqbal Town,0,0.06893790550300048
32022306.9132,735.133953233,7116.06820293,0,0,Town Ship,Town Ship,41658,52445,53581,54745,56131,59712,62645,53006,54163,54908,56713,60556,63295,76.3547918759,82.3741030239,86.0999546023,Iqbal Town,0,0.1298520291448104
43828927.5653,1006.1777521,9739.76168118,0,0,Township Sector A,Township Sector A,35047,44122,45078,45639,47223,50236,52704,44594,45567,46124,47713,50946,53250,46.933059195,50.6332006384,52.923054489,Iqbal Town,0,0.13654932786681523
366642745.74,8416.99293653,81476.16572,0,0,Ali Raza Abad,Ali Raza Abad,38190,48414,49480,51417,53976,56996,59164,48948,50017,52262,54536,57461,59777,6.41274151078,6.82678486644,7.10194251685,Iqbal Town,0,0.13549302046200581
333514138.067,7656.46171091,74114.2529038,0,0,Shahpur,Shahpur,36097,45761,46768,48599,51017,53872,55921,46266,47275,49398,51547,54312,56501,6.66326064523,7.09361609196,7.37951839026,Iqbal Town,0,0.1694378259949216
246536673.964,5659.72589792,54785.9275476,0,0,Chung,Chung,34917,44265,45239,47010,49350,52111,54093,44753,45730,47783,49862,52536,54654,8.71950353959,9.28242832737,9.65665139721,Iqbal Town,0,0.16649989506827925
1014944698.15,23300.0174,225543.266256,0,0,Maraka,Maraka,36543,46326,47346,49199,51648,54538,56612,46837,47859,50008,52184,54983,57199,2.21665070516,2.35978364548,2.4548908706,Iqbal Town,0,0.20387780332477032
221192766.626,5077.90751606,49153.9481391,0,0,Manga,Manga,44593,56531,57776,60037,63025,66552,69083,57155,58402,61024,63679,67095,69800,12.4116084826,13.2131197324,13.7458194698,Iqbal Town,0,0.23665311237283104
637489222.426,14634.797346,141664.27165,0,0,Sultanke,Sultanke,36399,46144,47159,49005,51444,54323,56389,46653,47671,49811,51978,54766,56974,3.51518362597,3.74217686144,3.89305014979,Iqbal Town,0,0.20211943973168803
47588253.9807,1092.48035662,10575.1675513,0,0,Dholanwal,Dholanwal,38482,48302,49342,50412,50769,54008,56661,48812,49877,50797,51296,54772,57249,46.4713161132,50.1354552218,52.4027728765,Iqbal Town,0,0.19371531315017051
783044379.85,17976.2973379,174009.862189,0,0,Paji,Paji,34915,44262,45237,47008,49347,51967,53731,44751,45727,47780,49859,52276,54288,2.74511480715,2.9080515869,3.01997674936,Iqbal Town,0,0.16650501583374397
4574160.52122,105.008696463,1016.48011583,0,0,Bostan Colony,Bostan Colony,37330,46996,48015,49057,50299,53508,56137,47499,48536,49578,50821,54265,56719,478.998422933,516.766723403,540.136216432,Nishtar Town,0,0.06536744634431939
17453040.1399,400.66827255,3878.45336442,0,0,Ismail Nagar,Ismail Nagar,34154,42998,43930,44887,46020,48956,51361,43458,44406,45368,46497,49648,51893,114.858108697,123.912980891,129.516119831,Nishtar Town,0,0.0634808294220489
26887579.2481,617.256354425,5975.01761069,0,0,Farid Colony,Farid Colony,34050,42867,43796,44746,45880,48807,51204,43326,44271,45221,46356,49497,51735,74.3289229363,80.1887249036,83.8144469945,Nishtar Town,0,0.1023153865209252
12087194.2377,277.484907866,2686.04316393,0,0,Green Town,Green Town,43985,55374,56575,57801,59266,63047,66145,55967,57188,58414,59881,63939,66831,213.582787099,230.42334263,240.845531074,Nishtar Town,0,0.12730006898813026
14668187.3451,336.736593619,3259.5971878,0,0,Maryam Colony,Maryam Colony,40554,51055,52161,53293,54643,58129,60985,51601,52727,53849,55210,58951,61618,162.272236031,175.065618401,182.985755536,Nishtar Town,0,0.09636912933492374
