Category,Title,Price,Location,Area,URL
Homes,Flat Sized 465 Square Feet Available In Bahria Town - Shaheen Block,50 Lakh,"Bahria Town - Shaheen Block, Bahria Town - Sector B",2.1 Marla,https://www.zameen.com/Property/bahria_town_sector_b_bahria_town_-_shaheen_block_flat_sized_465_square_feet_available_in_bahria_town_-_shaheen_block-52854971-1775-1.html
Homes,Ready To Buy A House In Park View City - Tulip Overseas Lahore,2.15 Crore,"Park View City - Tulip Overseas, Park View City",5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_overseas_ready_to_buy_a_house_in_park_view_city_-_tulip_overseas_lahore-52854637-13754-1.html
Homes,12 Marla Flat For Sale In Askari,3.5 Crore,"Askari 11 - Sector B, Askari 11",12 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_12_marla_flat_for_sale_in_askari-52854915-15702-1.html
Homes,Facing Lake 2nd Floor Apartment Available For Sale Investment Opportunity,3.85 Crore,"Askari 11 - Sector D, Askari 11",10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_facing_lake_2nd_floor_apartment_available_for_sale_investment_opportunity-52725202-21437-1.html
Homes,"Exquisite 2 Kanal Bungalow In Phase 6 With Full Basement, Pool, And Home Theater And 2 Kanal Lawn For Sale",48 Crore,"DHA Phase 6, DHA Defence",2 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_exquisite_2_kanal_bungalow_in_phase_6_with_full_basement_pool_and_home_theater_and_2_kanal_lawn_for_sale-50624251-1448-1.html
Homes,8 Marla Elegant And Fully Maintained Super Hot Located Bungalow Is Available For Sale In The Best Block Of DHA Lahore.,4 Crore,"DHA Phase 3, DHA Defence",8 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_3_8_marla_elegant_and_fully_maintained_super_hot_located_bungalow_is_available_for_sale_in_the_best_block_of_dha_lahore-52593353-1454-1.html
Homes,Brand New Luxury 5 Marla House in Park View City with Premium Features,2.25 Crore,"Park View City - Tulip Block, Park View City",5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_block_brand_new_luxury_5_marla_house_in_park_view_city_with_premium_features-52237484-8465-1.html
Homes,10 Marla Apartment Available For Sale.,3.5 Crore,"Askari 11 - Sector D, Askari 11",10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_apartment_available_for_sale-52722683-21437-1.html
Homes,10 Marla open View Flat Available For Sale.,2.8 Crore,"Askari 11 - Sector B Apartments, Askari 11",10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_10_marla_open_view_flat_available_for_sale-52807572-15703-1.html
Homes,2nd Floor Facing Lake Apartment Available for sale,3.85 Crore,"Askari 11 - Sector D, Askari 11",10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_2nd_floor_facing_lake_apartment_available_for_sale-52742465-21437-1.html
Homes,Ground Floor Apartment Available For Sale In Askari 11 Sector D,3.75 Crore,"Askari 11 - Sector D, Askari 11",10 Marla,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_ground_floor_apartment_available_for_sale_in_askari_11_sector_d-52742478-21437-1.html
Homes,1 Kanal Well Maintained Modern Bungalow For Sale In Phase 2,6.5 Crore,"DHA Phase 2, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_2_1_kanal_well_maintained_modern_bungalow_for_sale_in_phase_2-52411223-1444-1.html
Homes,1 Kanal Brand New Modern Bungalow For Sale Phase 6 Near Raya,9.95 Crore,"DHA Phase 6, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_6_1_kanal_brand_new_modern_bungalow_for_sale_phase_6_near_raya-52480040-1448-1.html
Homes,10 Marla 10 Year Use House For Sale Location New Airport Road LHR Double Unit Gated Compound Living Near DHA Lahore,4.25 Crore,"Airport Road, Lahore",10 Marla,https://www.zameen.com/Property/lahore_airport_road_10_marla_10_year_use_house_for_sale_location_new_airport_road_lhr_double_unit_gated_compound_living_near_dha_lahore-52593386-8347-1.html
Homes,7 marla Triple story slightly use house for sale location khuda baksh colony New airport road Near DHA Lahore.,3.5 Crore,"Khuda Buksh Colony, Cantt",7 Marla,https://www.zameen.com/Property/cantt_khuda_buksh_colony_7_marla_triple_story_slightly_use_house_for_sale_location_khuda_baksh_colony_new_airport_road_near_dha_lahore-52593397-3672-1.html
Homes,10 marla slightly use fully furnished spanish design most Luxurious bungalow for sale location DHA phase 5,6.95 Crore,"DHA Phase 5, DHA Defence",10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_slightly_use_fully_furnished_spanish_design_most_luxurious_bungalow_for_sale_location_dha_phase_5-52593400-1447-1.html
Homes,10 marla house for sale Location eden avenue gated compound living 24/7 security new airport road LHR Near DHA Lahore,3.5 Crore,"Eden Avenue, Eden",10 Marla,https://www.zameen.com/Property/eden_eden_avenue_10_marla_house_for_sale_location_eden_avenue_gated_compound_living_24_7_security_new_airport_road_lhr_near_dha_lahore-52593406-75-1.html
Homes,One Kanal Slightly Used Ultra Modern Designer Owner Build Fully Furnished Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &Amp; Commercial Market.,11 Crore,"DHA Phase 5 - Block C, DHA Phase 5",1 Kanal,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_c_one_kanal_slightly_used_ultra_modern_designer_owner_build_fully_furnished_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_amp_commercial_market-52174416-1600-1.html
Homes,10 Marla Brand New Spanish Design Most Luxurious Bungalow For Sale Location DHA Phase 5 Lahore,6.75 Crore,"DHA Phase 5, DHA Defence",10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_5_10_marla_brand_new_spanish_design_most_luxurious_bungalow_for_sale_location_dha_phase_5_lahore-52593416-1447-1.html
Homes,2 Kanal Elegant And Prime Location Super Hot Located Bungalow Is Available For Sale In The R Block Of DHA Phase 2 Lahore.,14.75 Crore,"DHA Phase 2 - Block R, DHA Phase 2",2 Kanal,https://www.zameen.com/Property/dha_phase_2_dha_phase_2_-_block_r_2_kanal_elegant_and_prime_location_super_hot_located_bungalow_is_available_for_sale_in_the_r_block_of_dha_phase_2_lahore-52598393-1571-1.html
Homes,KANAL BUNGALOW WITHOUT COMMISSION WITH AFTER SALES SERVICES,19 Crore,"DHA Phase 5 - Block L, DHA Phase 5",1 Kanal,https://www.zameen.com/Property/dha_phase_5_dha_phase_5_-_block_l_kanal_bungalow_without_commission_with_after_sales_services-52598405-1608-1.html
Homes,1 Kanal Elegant And Prime Location Super Hot Located Bungalow Is Available For Sale In The Best Block Of DHA Phase 3 Lahore.,5.9 Crore,"DHA Phase 3, DHA Defence",1 Kanal,https://www.zameen.com/Property/dha_defence_dha_phase_3_1_kanal_elegant_and_prime_location_super_hot_located_bungalow_is_available_for_sale_in_the_best_block_of_dha_phase_3_lahore-52628879-1454-1.html
Homes,10-Marla Fully Furnished Modern Bungalow For Sale at Top Location Near Doll-men Mall,5.95 Crore,"DHA Phase 6, DHA Defence",10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_6_10-marla_fully_furnished_modern_bungalow_for_sale_at_top_location_near_doll-men_mall-52750660-1448-1.html
Homes,10 Marla Brand New Modern Design House Available For Sale In Formanites Housing Scheme,3.3 Crore,"Formanites Housing Scheme, Lahore",10 Marla,https://www.zameen.com/Property/lahore_formanites_housing_scheme_10_marla_brand_new_modern_design_house_available_for_sale_in_formanites_housing_scheme-52636839-1020-1.html
Homes,5 Marla Brand New House for Sale Park View City Lahore,1.7 Crore,"Park View City, Lahore",5 Marla,https://www.zameen.com/Property/lahore_park_view_city_5_marla_brand_new_house_for_sale_park_view_city_lahore-52778843-1466-1.html
Homes,5 Marla Brand New House for Sale in Tulip Overseas Block Park View City Lahore,2.2 Crore,"Park View City - Tulip Overseas, Park View City",5 Marla,https://www.zameen.com/Property/park_view_city_park_view_city_-_tulip_overseas_5_marla_brand_new_house_for_sale_in_tulip_overseas_block_park_view_city_lahore-52768492-13754-1.html
Homes,1 Kanal House Is Available For Sale In Al Rehman Garden Phase 2 Lahore,8.5 Crore,"Al Rehman Garden Phase 2, Al Rehman Garden",1 Kanal,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_1_kanal_house_is_available_for_sale_in_al_rehman_garden_phase_2_lahore-52822949-4506-1.html
Homes,"10 Marla Brand New House Architects Engineering Housing Society, Lahore Demand: 3.90 Crore (390 Lakh)",3.9 Crore,"Architects Engineers Housing Society, Lahore",10 Marla,https://www.zameen.com/Property/lahore_architects_engineers_housing_society_10_marla_brand_new_house_architects_engineering_housing_society_lahore_demand_3_90_crore_390_lakh-52856389-1242-1.html
Homes,"22 Marla Semi Commercial House 80ft Road Near Firdos Market Gulburg 3 J Block , Lahore",8.2 Crore,"Gulberg 3 - Block J, Gulberg 3",1.1 Kanal,https://www.zameen.com/Property/gulberg_3_gulberg_3_-_block_j_22_marla_semi_commercial_house_80ft_road_near_firdos_market_gulburg_3_j_block_lahore-52786003-3840-1.html
Homes,10 Marla Elegant And Fully Maintained Super Hot Located Bungalow Is Available For Sale In The Best Block Of DHA Lahore.,3.99 Crore,"DHA Phase 4, DHA Defence",10 Marla,https://www.zameen.com/Property/dha_defence_dha_phase_4_10_marla_elegant_and_fully_maintained_super_hot_located_bungalow_is_available_for_sale_in_the_best_block_of_dha_lahore-52593375-1446-1.html
Homes,5 Marla House For Sale In Phase 2 Block Bahria Orchard Lahore,1.8 Crore,"Bahria Orchard Phase 2, Bahria Orchard",5 Marla,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_2_5_marla_house_for_sale_in_phase_2_block_bahria_orchard_lahore-52553670-8236-1.html
Homes,5 MARLA BRAND NEW FULLY FURNISHED LUXURY HOUSE IS AVAILABLE FOR SALE IN DHA PHASE 9 TOWN BLOCK C,3.35 Crore,"DHA 9 Town, DHA Defence",5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_fully_furnished_luxury_house_is_available_for_sale_in_dha_phase_9_town_block_c-52856354-1452-1.html
Homes,"Stylish Triple Storey House For Sale In Saroba Garden, Lahore Just 80 Lakh!",85 Lakh,"Pak Arab Housing Society, Lahore",2 Marla,https://www.zameen.com/Property/lahore_pak_arab_housing_society_stylish_triple_storey_house_for_sale_in_saroba_garden_lahore_just_80_lakh-52644958-1006-1.html
Homes,2 Marla Triple Storey House For Sale Saroba Garden,85 Lakh,"Saroba Gardens Housing Society, Lahore",2 Marla,https://www.zameen.com/Property/lahore_saroba_gardens_housing_society_2_marla_triple_storey_house_for_sale_saroba_garden-52416662-9474-1.html
Homes,Brand New Beautiful 3 Marla 3 Bed Double Storey House With 26 Feet Front For Sale In Khuda Buksh Colony Main Air Port Road Near Bhatta Chowk,1.45 Crore,"Khuda Buksh Colony, Cantt",3 Marla,https://www.zameen.com/Property/cantt_khuda_buksh_colony_brand_new_beautiful_3_marla_3_bed_double_storey_house_with_26_feet_front_for_sale_in_khuda_buksh_colony_main_air_port_road_near_bhatta_chowk-52824041-3672-1.html
Homes,One Kanal Brand New Luxury Mazhar Munir Design Most Beautiful Full Basement Fully Furnished Home Theater Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &Defence Raya Fairways Commercial,21.5 Crore,"DHA Phase 6 - Block M, DHA Phase 6",1 Kanal,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_-_block_m_one_kanal_brand_new_luxury_mazhar_munir_design_most_beautiful_full_basement_fully_furnished_home_theater_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_defence_raya_fairways_commercial-52173305-1621-1.html
Homes,3 Marla Dream House Near To Park Near To School & Restaurants Available For Sale,70 Lakh,"Ferozepur Road, Lahore",3 Marla,https://www.zameen.com/Property/lahore_ferozepur_road_3_marla_dream_house_near_to_park_near_to_school_restaurants_available_for_sale-52614884-81-1.html
Homes,2 Kanal Brand New Luxury Mazhar Munir Design Most Beautiful Full Basement Fully Furnished Home Theater Swimming Pool GYM Lift Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid &A Commercial Market,47 Crore,"DHA Phase 3 - Block Z, DHA Phase 3",2 Kanal,https://www.zameen.com/Property/dha_phase_3_dha_phase_3_-_block_z_2_kanal_brand_new_luxury_mazhar_munir_design_most_beautiful_full_basement_fully_furnished_home_theater_swimming_pool_gym_lift_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_masjid_a_commercial_market-52173083-1588-1.html
Homes,5 marla brand new ultra modern fully furnished most Luxurious bungalow for sale location DHA phase 9 town,2.95 Crore,"DHA 9 Town, DHA Defence",5 Marla,https://www.zameen.com/Property/dha_defence_dha_9_town_5_marla_brand_new_ultra_modern_fully_furnished_most_luxurious_bungalow_for_sale_location_dha_phase_9_town-52593420-1452-1.html
Homes,One Kanal Used Modern Design Bungalow For Sale At Prime Location Of DHA Lahore Near To Park & Commercial Market,6.7 Crore,"DHA Phase 1 - Block C, DHA Phase 1",1 Kanal,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_block_c_one_kanal_used_modern_design_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_commercial_market-52164802-1565-1.html
Homes,2 Kanal Used Modern Design 7-Bed Room Most Beautiful Bungalow For Sale At Prime Location Of Dha Lahore Near To Park & Commercial Market . .,13.5 Crore,"DHA Phase 2 - Block R, DHA Phase 2",2 Kanal,https://www.zameen.com/Property/dha_phase_2_dha_phase_2_-_block_r_2_kanal_used_modern_design_7-bed_room_most_beautiful_bungalow_for_sale_at_prime_location_of_dha_lahore_near_to_park_commercial_market-52164051-1571-1.html
